chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,114,2015,0.8757542671419585,0.081632653,0.094736842,0.071713147,0,0.10343990929705216,-0.007594104,-0.395005263,-0.077021053,0.4807490039840637,0.044960159,0.44624137931034485,0.012855172413793104,0.5279528301886792,0.088877358,-0.394766234,-0.118571429,-0.396027778,0.10072222222222223
House,115,2017,0.879523,0.08,0.105,0.06,0,0.098708889,-0.001264444,-0.389915,-0.055535,0.489608,0.042152,0.44722222222222224,0.038625,0.547188679,0.046943396,-0.389981481,-0.096790123,-0.389631579,0.12034210526315789
House,116,2019,0.8721814102564103,0.095768374,0.15416666666666667,0.028846153846153848,0,0.034594655,0.025804009,-0.371070833,0.001945833,0.5011105769230769,0.057942308,0.4591217391304348,0.06966087,0.5530322580645162,0.043451613,-0.368208333,-0.043984375,-0.382520833,0.18566666666666667
House,117,2021,0.8833644077624865,0.079120879,0.12931034482758622,0.026905829596412557,0,0.052863736,0.019474725274725276,-0.380081897,-0.027021552,0.5032825112107623,0.067847534,0.46423437500000003,0.09096875,0.5558947368421052,0.036694736842105266,-0.376098361,-0.083540984,-0.394959184,0.18406122448979592
House,118,2023,0.8981442592592592,0.077097506,0.12037037037037036,0.035555555555555556,0,0.069630385,0.01576644,-0.388606481,-0.032722222,0.5095377777777778,0.062315555555555555,0.469128,0.072,0.56005,0.05021,-0.382319767,-0.083093023,-0.413181818,0.16418181818181818
Senate,46,1879,0.7479428571428571,0.16049382716049382,0,0.34285714285714286,0,-0.124567901,-0.07762963,-0.4526,-0.116755556,0.29534285714285713,-0.027171429,0.2963030303030303,-0.079272727,0.27949999999999997,0.8325,-0.455136364,-0.263590909,-0.450173913,0.023695652173913045
Senate,47,1881,0.7635713450292398,0.1411764705882353,0,0.24444444444444444,0,-0.030047059,-0.080929412,-0.448815789,-0.052763158,0.31475555555555557,-0.113044444,0.31634090909090906,-0.132181818,0.245,0.729,-0.455117647,-0.199058824,-0.443714286,0.065666667
Senate,48,1883,0.7604694444444444,0.14102564102564102,0,0.25,0,-0.042705128,-0.135128205,-0.449444444,-0.091666667,0.311025,-0.192675,0.311025,-0.192675,NA,NA,-0.4515,-0.217,-0.4478,0.0086
Senate,49,1885,0.7438871794871795,0.15476190476190477,0.025641026,0.26666666666666666,0,-0.047309524,-0.143345238,-0.445820513,-0.125666667,0.29806666666666665,-0.158666667,0.3024418604651163,-0.176906977,0.20400000000000001,0.23349999999999999,-0.430411765,-0.292352941,-0.457727273,0.003136364
Senate,50,1887,0.7474128378378377,0.15584415584415584,0.027027027,0.275,0,-0.070571429,-0.15187013,-0.458837838,-0.123081081,0.28857499999999997,-0.1785,0.2956923076923077,-0.187461538,0.011,0.171,-0.4378125,-0.2438125,-0.474857143,-0.031095238
Senate,51,1889,0.7650685203574975,0.13186813186813187,0.026315789,0.20754716981132076,0,-0.007252747,-0.112648352,-0.452842105,-0.124078947,0.3122264150943396,-0.10445283,0.3122264150943396,-0.10445283,NA,NA,-0.424,-0.221,-0.471652174,-0.060869565
Senate,52,1891,0.7517641723356009,0.15625,0.022222222222222223,0.24489795918367346,0,-0.0499375,-0.130239583,-0.441111111,-0.184688889,0.31065306122448977,-0.115734694,0.31065306122448977,-0.115734694,NA,NA,-0.408777778,-0.347722222,-0.462666667,-0.076
Senate,53,1893,0.7612291666666666,0.14583333333333334,0.020833333333333332,0.22727272727272727,0,-0.07240625,-0.111427083,-0.438229167,-0.158395833,0.323,-0.131022727,0.320046512,-0.137139535,0.45,0.132,-0.394727273,-0.313727273,-0.475038462,-0.026961538
Senate,54,1895,0.7690318181818182,0.16666666666666666,0.025,0.20454545454545456,0,-0.0203,-0.078255556,-0.42285,-0.173075,0.3461818181818182,-0.090863636,0.3437674418604651,-0.096046512,0.45,0.132,-0.39765,-0.30515,-0.44805,-0.041
Senate,55,1897,0.8071627497062279,0.16842105263157894,0.054054054,0.086956522,0,0.016852631578947366,-0.101631579,-0.426054054,-0.126135135,0.3811086956521739,-0.294847826,0.3769772727272727,-0.302795455,0.472,-0.12,-0.4435625,-0.1370625,-0.412714286,-0.117809524
Senate,56,1899,0.8149285714285714,0.1702127659574468,0.14285714285714285,0.071428571,0,0.1074468085106383,-0.085276596,-0.418071429,-0.096892857,0.39685714285714285,-0.218464286,0.3940740740740741,-0.222111111,0.472,-0.12,-0.44175,0.09475,-0.4086,-0.17355
